verse,line,category,source,text
31,1,Commentary,"Rabbeinu Bahya, Devarim 31:1:3","וילך משה וידבר את הדברים האלה אל כל ישראל. בן מאה ועשרים שנה אנכי היום, וגו', “Moses went and spoke these words to all of Israel. ‘I am 120 years old this day.’” It is possible that the 120 years Moses lived corresponded to the 120 days he spent on Mount Sinai. During the first 40 days he received the first set of Tablets. During the second 40 days he pleaded for G’d to forgive the people the sin of the golden calf; he spent the next 40 days on the mountain in order to receive the second set of Tablets. This may be the reason why he used the term אנכי instead of אני.  Our sages in Sotah 13 feel that he meant to say that on that day he was precisely 120 years old, i.e. that he died on the same day of the same month as he had been born. This may also be the reason why he used the word היום at the beginning of the previous Parshah, so that all these speeches took place on the same day. The day in question was the seventh day of Adar at the end of the Israelites 40th year in the desert. We have further proof of this in 34,8 where the Torah reported that the people mourned Moses for 30 days during which they did not journey. The Torah states explicitly that the days of Moses’ mourning came to an end. It is proper to read this verse in conjunction with Joshua 1,10: “Joshua commanded the law-enforcement officers of the people: ‘prepare for yourselves provisions for in another three days you will cross the river Jordan.’” Anyone reading these two verses together will realize that Joshua would not command the people to prepare these provisions until the mourning period for Moses had passed. To make this plain, the Torah had to write the verse: “the days of crying for (the death of) Moses had concluded.” The Book of Joshua 4,19 reports that the Jewish people completed crossing the river Jordan on the tenth of the first month, i.e. 3 days after the conclusion of the mourning period for Moses. By counting backwards you will arrive at the date of the 7th Adar as the date on which Moses had died. When the Torah in Exodus 2,3 reported that Moses’ mother was unable to hide him any longer, the date referred to is the 6th of Sivan, the day on which the revelation at Mount Sinai took place 80 years later. On that day, the light which filled only his parents’ home on the day he was born became so powerful that it shone for the whole Jewish nation. The light which had filled the house of Amram had already forecast the eventual greatness of the boy that had been born to Yocheved. The reason Yocheved had to hide Moses in a basket, well insulated, was that the light surrounding the baby had become so much stronger that it represented a danger to the family. The Torah speaks of Yocheved having hidden Moses for שלשה ירחים ‘three lunar months,” rather than שלשה חדשים, “three months,” (Exodus 2,2) to indicate that these were lunar months. The months Adar, Nisan, and Iyar are 29,30, and 29 days long, respectively. This gives us a total of 88 days during which Moses was kept “hidden” at home, or it takes us back to the 7th day of Adar as Moses’ birthday. From all this it becomes clear that Moses died on the same day of the same month on which he had been born. The word חדש implies a period which equals 1/12th of the year, something not subject to variation either by adding or subtracting from it. The same is not true of the period known as ירח, a period which may comprise either 29 or 30 days. The reason why the Torah used the term ירחים in the verse mentioned was to enable us to calculate the precise date on which Moses was born. This prompted our sages in Kiddushin 38 to state that G’d completes the life cycle of the righteous from day to day (to grant them whole years) something they base on Exodus 23,26: את מספר ימיך אמלא, “I will fill (round out) the number of your days (meaning “years”)."
31,1,Commentary,"Rabbeinu Bahya, Devarim 31:1:4","לא אוכל עוד לצאת ולבא, “I am no longer able to go out (to war) and to come back.” Moses refers to the times he had led the armies of the Jewish people against Sichon and Og, respectively.  Nachmanides claims that the reason that Moses made this statement was to console the people about his impending death. No doubt, his physical powers had continued undiminished, as the Torah testifies about him in Deut. 34,7. He simply wanted to enhance the people’s regard for Joshua who would henceforth lead them in battle, and ensure that they would inherit the land. Our sages in Sotah 13. understand the words: “to go out and to come back” as referring to words of Torah. They claim that Moses felt that his ability to teach the Torah had waned, that the fountains of wisdom had dried up for him. This by it self was a miracle as it prevented him from relating to his impending death with worry and sadness. G’d also allowed this to happen so that Joshua could take over from him during his lifetime."
31,1,Commentary,Or HaChaim on Deuteronomy 31:1:2,"I believe we must explain our verse by recalling the Zohar volume one page 217. We are told there that 40 days prior to man's death his נשמה leaves him. Zohar bases this on Song of Songs 4,6: ונסו הצללים, ""and the shadows fled."" These ""shadows"" search for a resting place in the celestial regions and the righteous are aware of this. It is described there that Rabbi Shimon ben Yochai was aware of the fact that Rabbi Yitzchak's soul had already departed from him while the latter was still alive. "
31,1,Commentary,Or HaChaim on Deuteronomy 31:1:3,"It is also mentioned there that the names of the Israelites are actually the names of their respective souls. I myself have explained this on Proverbs 10,7 ""that the name of the wicked will rot."" Zohar Chadash 120 interprets this to mean that the wicked will not be able to remember his name, the reason being that the wicked has no soul. Having been deprived of his soul it is not surprising that the wicked does not recall his name."
31,1,Commentary,Or HaChaim on Deuteronomy 31:1:4,"Here we are told that ""Moses went;"" this means that his soul, the spirit of life named Moses, had gone from him just like in any other צדיק whose end is at hand. In this instance Moses' soul is referred to in the masculine gender, i.e. וילך, to stress the greatness of his soul. By writing וידבר את הדברים האלה the Torah indicates that Moses was aware when walking that he would die on that day. He made this plain when he said: ""I am exactly 120 years old today, etc."" Our sages in Rosh Hashanah 11 interpret Moses' words as: ""today my days and years have been completed."""
31,1,Commentary,Or HaChaim on Deuteronomy 31:1:5,"Having read all this you may ask how it was that Moses knew that he would die on that day and not 40 days later seeing we said that the soul leaves 40 days before one's death? Read what I have written on Genesis 47,29 ""Israel's days to die approached."""
31,1,Commentary,Or HaChaim on Deuteronomy 31:1:6,"וידבר את הדברים האלה, He spoke these words, etc. Moses wanted to show that though he was 120 years old and about to die he had the strength to say all the words recorded from here until the end of the Book of Deuteronomy. No one except Moses possessed the physical or intellectual strength to do this."
31,1,Chasidut,Likutei Moharan 75:7:1,"7. Torah and prayer have two facets, thought and crying out, which correspond to Moshe and David. Crying out is the aspect of “Wisdom cries aloud in the streets” (Proverbs 1:20). Thought is the aspect of “the rounding of your thighs” (Song of Songs 7:2). Of Moshe it is written (Exodus 8:8), “Moshe cried out”; and it is written (Deuteronomy 31:1), “[Moshe] went and he spoke”—i.e., he would assemble congregations in public places. This is the aspect of “Wisdom cries aloud in the streets.” And of David it is written (Psalms 68:27), “Bless God in assemblies,” which likewise is “Wisdom cries aloud in the streets.”"
31,1,Quoting Commentary,Ramban on Deuteronomy 31:24:1,"AND IT CAME TO PASS, WHEN MOSES HAD FINISHED WRITING [THE WORDS OF THIS LAW]. The meaning thereof is that, at first, he wrote the Law and delivered it unto the priests as is stated above, (Above, Verse 9.)  but he did not tell them where they were to put it. Afterwards he was commanded concerning this Song — he wrote it and taught it the children of Israel (Verse 22.)  that same day, and thus added it to the Law. And it came to pass, when Moses had finished writing everything in the Book of the Law, then he commanded the priests, Take this Book of the Law, and put it by the side of the ark of the covenant of the Eternal your G-d, (Verse 26.)  meaning that it should remain in the ark at the side [of the Tablets], for henceforth they would not even touch it to add [thereto] or to diminish [from it]. This is the sense of the verse, And it came to pass, when Moses had finished writing [the words of this Law in a book] until they were completed. Therefore Rabbi Abraham ibn Ezra commented that [Seder] V’zoth Habrachah (Further, Chapter 33.)  was [written] earlier, and its proper place is above as it is stated And Moses went and spoke these words unto all Israel. (Above, Verse 1. Ibn Ezra holds that at the time when he informed them of his impending death, he also blessed them, as recorded in Seder V’zoth Habrachah.)  It is possible that after he wrote the Song and taught it the children of Israel (Verse 22.)  one by one according to their tribes as he had them brought before him to the House of Learning, he wrote it in the Book of the Law and commanded the priests Take this Book of the Law, (Verse 26.)  meaning that the Song too, should remain in the ark with the Law, for it is part of the Law since it is there as a testimony. Then Moses told them to assemble before him again — all the elders of the tribes and the officers (See further, Verse 28.)  — and that the people should join them, for so it is stated at the end, And Moses came and spoke all the words of this Song in the ears of the people. (Further, 32:44.)  Now the priests did so and they assembled the entire people before him and he called heaven and earth to witness against them in assembly (Thus in addition to teaching the Song to the individual tribes, he now taught it again in an assembly of the entire people.)  in the hearing of the priests and all the people. Then G-d, blessed be He, told him Get thee up into this mountain of Abarim. (Ibid., Verse 49.)  This he was bound to do immediately, and so he stood up and blessed them: ‘V’zoth Habrachah’ (And this is the blessing). (Ibid., 33:1.)  He then wrote it at the end of the book which he gave to the priests. Then the priests did as he commanded them — they placed the complete book by the side of the ark of the covenant. (In accordance with Ramban’s interpretation at the beginning of the verse that the Law was placed “in the ark at the side [of the Tablets]” the language here too must mean: “[inside] by the side of the ark of the covenant.” This is the opinion of Rabbi Meir (Baba Bathra 14a).)  Thus everything took place in the order stated in the Torah. (See a similar approach of Ramban in Leviticus 8:2 (Vol. III, p. 91-93).)  Ha’azinu"
31,1,Halakhah,"Mishneh Torah, Sabbatical Year and the Jubilee 9:4","The Sabbatical year does not nullify debts until its conclusion. [This is derived as follows: Deuteronomy 15:1-2] states: ""At the end of seven years, you shall effect a remission. This is the matter of the remission."" And [Deuteronomy 31:10] states: (With regard to the Hakhel ceremony. The interrelation of these verses has its source in the Sifri.)  ""At the end of seven years, at the time of the Sabbatical year, during the holiday of Sukkot."" Just as in that instance, [the event takes place] after the seven [years], so too, the nullification of the debts takes place after the seven [years]. Therefore if one lent money to a colleague in the Sabbatical year itself, he may demand payment of his debt for the entire year. (According to other authorities, although the debt is not remitted until the end of the Sabbatical year, from the beginning of the Sabbatical year, the creditor is forbidden to demand payment. See Shulchan Aruch HaRav, loc. cit. 36.)  When the sun sets on the night of Rosh HaShanah of the eighth year, (I.e., the sunset marking the advent of Rosh HaShanah.)  the debt is nullified. (Because it is forbidden to demand its payment (Likkutei Sichot, loc. cit.).) "
34,12,Quoting Commentary,"The Five Books of Moses, by Everett Fox, Deuteronomy, On the Book of Deuteronomy and Its Structure 2-39","DEUTERONOMY HOLDS A UNIQUE POSITION, AND SPEAKS WITH A UNIQUE VOICE, IN THE literature of the Torah. Up to this point, through the first four books, we have encountered a powerful mixture of literary genres; indeed, the books owe their characteristic stamp to the way in which they incorporate these genres. Genesis is predominantly narrative, punctuated by genealogies; Exodus begins with narrative and later proceeds with covenant-making and law, and then with the precise details of sanctuary building; Leviticus is composed almost entirely of cultic and then ethical and social law; and finally, Numbers alternates narrative and varied laws, under the structure of preparations for wilderness march, first encounters with the Promised Land, and preparations for entry. Except for Leviticus, the books also exhibit, at strategic points, striking examples of biblical poetry. An ancient name for Deuteronomy, mishne tora—which means “copy of the Torah,” but which was erroneously understood as “second Torah”—would seem to indicate more of the same combining of genres, and a not-too-close reading would support the idea of a rehashing of narrative, covenant-making, law, and poetry. But the reader who takes the time to weigh what stands before him or her will find much more. In its structure, style, content, and intent, Deuteronomy goes beyond what has preceded it. The image of Moshe addressing the assembled people on the Plains of Moab—the central setting of the book—provides the occasion for not merely a retelling, but a recasting of Israel’s mission and destiny. No book of the Torah is truer to the idea of “instruction” (Deuteronomy uses the term numerous times), including an emphasis on teaching and learning, with assembled and yet-to-be-born children as much the audience as “elders.” From the book’s opening phrase, “Now these are the words [or even “speeches”] that Moshe spoke to the Children of Israel / in (the country) across the Jordan,” the basic premise of Deuteronomy is that the aged Moshe, personally and indeed in the first person, speaks for the last time to the assembled Israelites, before their triumphant entry into the land of Canaan. The setting affects the entire content of the book; no longer is the narrator in the background, as in most of the Torah, but instead he is presented as directly addressing a living audience, an audience composed not only of the ancient hearers portrayed in the text but also of contemporary listeners. The image of a leader delivering a long public address on an auspicious occasion is well known from the ancient world, most familiarly from Greek historians (cf. Van Seters) but also abundantly in the ancient Near East (Weinfeld). The historian seeks to paint a vivid picture of the personality of his speaker and the high drama of the moment, and may go on at great length. While admitting to not having had the benefit of eyewitness sources, such chroniclers are nevertheless sincere in their desire to present what undoubtedly would have been said on such an occasion. Deuteronomy, whenever it was composed and placed in the Torah, takes this approach a step further. It is a fantastic conceit, really: as Rosenberg (1975) notes, Moshe, the man who was “not a man of words” (Ex. 4:10), all of a sudden finds his voice. And as Polzin (1980) has shown in his forceful analysis, in Deuteronomy Moshe’s voice functions fairly indistinguishably from God’s own—and then closes off the text by stipulating that nothing in the future is to be added or subtracted to it. So we are dealing with a text of directly authoritative character, a series of speeches that in their own self-understanding already bore the status of “Torah.” Hence Deuteronomy introduces into the Bible for the first time the concept of canon—a bounded, accepted body of authoritative literature. Moshe’s addresses, which include a historical review, repeated appeals to observe God’s laws and dire warnings against their violation, a reworking of previous laws and the addition of new ones, and a poem designed to keep the appeals and warnings in popular memory, have about them a deep rhetorical urgency. As such they are stylistically quite different from most of what is found in the first four books of the Bible. To be sure, there are many moments of high rhetoric in the previous narratives, and the laws—including cultic ones—are also not lacking appeals to the emotions (cf., for instance, the repeated injunctions to not oppress the sojourner, “for you were sojourners in the land of Egypt”). But as an extended piece of argumentation and pleading, Deuteronomy holds pride of place in the Torah, with its specialized vocabulary (described in the notes and commentary below), its alternately pleading and warning tone, and its long, elegant phrases (as Gottwald notes, these phrases are most often cast in the form of subordinate clauses, not the typical syntactical form found in the previous books). But not only does Deuteronomy provide an emotional capstone to the four books that precede it. It functions to link up with both the landed history of Israel in the narrative books to follow (Joshua through Kings) and the prophets’ emotional speeches to the people and their leaders. In the words of G. Ernest Wright, the central purpose of Deuteronomy is to furnish Israel with a complete order of faith and life which is the prerequisite for a prosperous and secure existence on the God-given land. The historian [of the succeeding books] shows how Israel failed to keep it and what the consequences were. It is in fact the monarchic setting that is commonly held to be the historical background to the compilation of Deuteronomy. While Moshe’s last days and the people’s being poised on the steppes opposite Jericho would certainly be a dramatic enough moment for our book’s speeches to occur, its language, style, and many of its concerns point to a later time in the history of Israel as a likely venue for at least a good part of its emotional appeal. That time, in the opinion of most biblical scholars over the past two centuries, was the middle of the reign of King Josiah (ruled 640–608 B.C.E.) of Judah, the southern kingdom (Israel, the north, had been overrun by Assyria a century previously). The Assyrian Empire, dominant in the region for three hundred years, was on the wane, and Josiah took advantage of this decline of power to expand his kingdom northward. He also—at about the time of the death of Ashurbanipal, the last powerful king of Assyria—began a wide-ranging reform that consisted largely of destroying the local “high places” of pagan worship that had figured so prominently in the reign of his grandfather, the notorious Manasseh (ruled 687–642). II Kings 23 describes the purge in great detail, noting both places and priests that were now rendered inoperative in favor of the centralization of the cult in Jerusalem. It is within this setting that Chapter  22 reports the dramatic discovery of a scroll “of the Torah.” The high priest Hilkiah said to Shaphan the secretary, “I have found the book of the law in the house of the LORD.” … Shaphan then read it aloud to the king. When the king heard the words of the book of the law, he tore his clothes. Then the king commanded … saying: “Go, inquire of the LORD for me, for the people, and for all Judah, concerning the words of this book that has been found, for great is the wrath of the LORD … because our ancestors did not obey the words of this book, to do according to all that is written concerning us.” (22:8, 10–13, New Revised Standard Version) What precisely were the contents of the “book” we do not know; but it is usually taken to have been some form of Deuteronomy. The rhetorical force of the newly discovered text must have been considerable, for its reported result was that the king directed that all the elders of Judah and Jerusalem should be gathered to him. … he read in their hearing all the words of the book of the covenant that had been found in the house of the LORD. The king stood by the pillar and made a covenant before the LORD, to follow the LORD, keeping his commandments, his decrees, and his statutes, with all his heart and all his soul, to perform the words of this covenant that were written in this book. All the people joined in the covenant. (23:1–3) The connections between these passages and the style of Deuteronomy will be obvious to anyone who reads the book, and it seems clear that Josiah’s reforms are closely related to concerns expressed in Deuteronomy. The Bible’s portrayal of this background does not necessarily mean that Deuteronomy was composed for the occasion, or even that it originated in Judah. Several scholars (notably Ginsberg) have remarked on connections to the northern kingdom of Israel (e.g., affinities to the prophet Hosea), and so it is possible that at least some of our book was a series of traditions brought south by refugees fleeing the Assyrian onslaught. In any event, the text of Deuteronomy addresses its audience with such emotional immediacy that it may safely be presumed that a crisis of major proportions loomed, and the opportunity presented itself for a large-scale revival—or redefinition—of Israel’s self-understanding. Similar crises later in Jewish history may have led to the editing and writing down (but not necessarily the composition) of other central texts, the Mishnah (c. 200) and the Babylonian Talmud (c. 450). Like these documents, and like the first four books of the Torah, Deuteronomy is written in such a way that it is difficult to pin down its precise background, which through additions and circumspection has been substantially obliterated. What is left to us are the many repetitions of “today” or “this day,” which signal the desire to make the “Instruction” contemporary for the audience, whoever and whenever that may be. The net effect of this process of creation and development was to establish the Torah’s character as a text that shows signs of new life and new thinking within itself. Deuteronomy, by its inclusion as the final book of the five, officially began the practice of “explaining” (1:5) the traditions of Israel, and thus paved the way for the classic form of Jewish religious and intellectual activity: the interpretation of Scripture (cf. Fishbane 1988 for a definitive study on “inner-biblical exegesis,” interpretation that appears within the Bible itself and hence becomes a legitimate part of its traditions). This activity strongly influenced Christianity and Islam as well, and is still a part of religious discourse and development in the Western world. In its overall structure, Deuteronomy breaks down fairly easily; but it is perhaps best understood in the light of comparative ancient Near Eastern material. Weinfeld’s lifetime of research has demonstrated the strong parallels between our book and certain Assyrian treaty texts (earlier Hittite texts have also been shown to be helpful in this regard; cf. Levenson 1985b for a useful summary). It is striking indeed that the Esarhaddon Treaty texts from the seventh century B.C.E., which also produced the final form of Deuteronomy, seem to prefigure the basic structure of what Moshe lays out in the book: a historical overview, an exhortation to keep the covenant, the laws—particulars of the covenant, a series of blessings and curses following upon observance or nonobservance of the covenant, and a ceremony ratifying it. A similar pattern, in abbreviated form, may be observed in the Sinai covenant in Ex. 19–24. Weinfeld points out that such covenants or treaties were two-sided, with the suzerain granting his vassals certain favors in return for “love” (= loyalty), and threatening dire consequences if that loyalty were to become suspect. What is fascinating about the parallels is not so much that they exist, but that here, apparently, a political model from a hated enemy has been assimilated and transformed into a positive religious-national one. Such transformative power seems to be characteristic of biblical culture, which probably reworked known stories and poems, among other genres, into genuine Israelite creations (the Flood narratives of Genesis and Psalm 29 are two fruitful examples of the process). Deuteronomy, then, focuses mainly on the relationship between God and Israel, a relationship that has been spelled out before (as in Exodus) but that forms in this book the very soul of the text. Every act that Israel performs as a community, and every one done by individuals, is to be seen in that light. As elsewhere in the Bible, breaking one of God’s rules means not merely a violation of a statute but an affront to the suzerain, the sovereign Lord, and thus a grave risk to society’s well-being and even to its very existence. And there is a unity of purpose and concept here: Gottwald summarizes the message of the book as “the indivisible unity of one God for one people in one land observing one cult” (italics his). Given the treaty pattern that we have just referred to, an outline of the book might proceed along the following lines: I   Historical Overview (Moshe as Narrator; 1–4:43) A   Narrative of the Wilderness Journey (1–3) B   Transition: Beginning of the Exhortation (4:1–40) and Addendum on Towns of Asylum (4:41–43) II  Opening Exhortation (Moshe as Pleader; 4:44–11:36) Looking Back to the Revelation at Sinai III The Terms of the Covenant (Moshe as Lawgiver; 12–28) A   The Laws (12–26) B   Covenant Ceremony; Blessings and Curses (27–28) IV Concluding Exhortation (Moshe as Pleader; 29–30) Looking Ahead to Exile and Return V  Final Matters (31–34) A   Passing the Mantle (31) B   Moshe’s Admonitory Poem (32) C   Moshe’s Blessing to the Tribes (33) D   The End (34) A few simple structural observations, based on a closer look at the text itself, may be made here. Parts I and V stress the role of Yehoshua (Joshua) in the future. Then, too, Parts II and IV use similar rhetorical formulas toward the end of each (“See, I set before you this day …,” 11:26 and 30:15). Such a symmetry would suggest that Part III is the crucial one, and that is of course the case. Everything in Deuteronomy radiates out from the laws: a new humanism, a rethinking of tradition, and above all, a heartfelt appeal to “choose life” (30:19), a good life on the land under the blessing of God. It is only when that appeal has been fully made, and when all of Deuteronomy’s new material has been added (with no more to come, as the text sees it!), that Moshe can finally die, and the people of Israel can proceed into the Promised Land. The book of Numbers proved to be a false ending, and indeed the report of Moshe’s death was postponed from the end of that book to this, so that the biblical tradition could transform itself into a truly multifaceted and rich one. The Torah, which began in the nameless, unknowable past, ends in the limitless present and future, with a potential life ahead for the Israelite people as bountiful and as beautiful as the “good land” that Moshe is allowed to see from the summit of Pisga."
